title,page,section
Aint_Nothin_Wrong_With_That,1,top
Johnny_B_Goode,1,bottom
Alive_And_Amplified,2,top
Jungle_Boogie,2,bottom
All_Hail_Green_And_Gold,3,top
Lets_Groove,3,bottom
Any_Way_You_Want_It,4,top
Prince_Of_Thieves,4,bottom
Are_You_Gonna_Be_My_Girl,5,top
My_Songs_Know_What_You_Did,5,bottom
Believer,6,top
Master_Of_Puppets,6,bottom
Back_In_Black,7,top
On_Mustangs,7,bottom
Blister_In_The_Sun,8,top
Poker_Face,8,bottom
Born_To_Be_Wild,9,top
The_Pretender,9,bottom
Cal_Poly_Fanfare,10,top
Pretty_Fly,10,bottom
Camino_Real,11,top
Camino_Real,12,top
Proud_Mary,11,bottom
Ride_High_You_Mustangs,12,bottom
Centerfold,13,top
Rock_Lobster,13,bottom
Confident,14,top
Runaway_Baby,14,bottom
Crazy_Train,15,top
Sell_Out,15,bottom
Daft_Punk_Medley,16,top
Daft_Punk_Medley,17,top
Send_Out_A_Cheer,16,bottom
Shake,17,bottom
Dirty_Deeds_Done_Dirt_Cheap,18,top
Sir_Duke,18,bottom
Come_On_Feel_The_Noize,19,top
Stadium_Jams_Vol_5,19,bottom
Stadium_Jams_Vol_5,20,bottom
Fireball,20,top
Forget_You,21,top
Think,21,bottom
Freeze_Frame,22,top
Thnks_fr_th_Mmrs,22,bottom
Get_It_On,23,top
The_Time_Warp,23,bottom
Happy_Together,24,top
Touch_Me,24,bottom
Happy,25,top
Vehicle,25,bottom
Hey_Baby,26,top
Walking_On_Sunshine,26,bottom
Hey_Pachuco,27,top
Hey_Pachuco,28,top
Word_Up,27,bottom
Yea_Poly,28,bottom
Holiday,29,top
You_Can_Call_Me_Al,29,bottom
I_Dont_Care,30,top
You_Dropped_A_Bomb_On_Me,30,bottom
I_Saw_Her_Standing_There,31,top
In_The_Stone,32,top
The_Impression_That_I_Get,33,top
Dancing_Queen,34,full
Karn_Evil_9,35,full
Karn_Evil_9,36,full
Magic_Carpet_Ride,37,full
The_Lion_Sleeps_Tonight,38,full
Radar_Love,39,full
